company_name,ticker_symbol,exchange,country,currency,dividend_date,dividend_per_share,share_price_on_dividend_date,dividend_yield_pct,sector,industry,market_cap,last_updated,index_source,avg_dividend_yield,exchange_rank
3M Company,MMM,NASDAQ,USA,USD,2021-05-20,1.2375,141.06,0.88,Industrials,Conglomerates,79507718144,2026-05-24,S&P 500,0.97,15.0
3M Company,MMM,NASDAQ,USA,USD,2021-08-20,1.2375,136.86,0.9,Industrials,Conglomerates,79507718144,2026-05-24,S&P 500,0.97,15.0
3M Company,MMM,NASDAQ,USA,USD,2021-11-18,1.2375,127.04,0.97,Industrials,Conglomerates,79507718144,2026-05-24,S&P 500,0.97,15.0
3M Company,MMM,NASDAQ,USA,USD,2022-02-17,1.2458,106.65,1.17,Industrials,Conglomerates,79507718144,2026-05-24,S&P 500,0.97,15.0
3M Company,MMM,NASDAQ,USA,USD,2022-05-19,1.2458,106.51,1.17,Industrials,Conglomerates,79507718144,2026-05-24,S&P 500,0.97,15.0
3M Company,MMM,NASDAQ,USA,USD,2022-08-19,1.2458,106.31,1.17,Industrials,Conglomerates,79507718144,2026-05-24,S&P 500,0.97,15.0
3M Company,MMM,NASDAQ,USA,USD,2022-11-17,1.2458,94.19,1.32,Industrials,Conglomerates,79507718144,2026-05-24,S&P 500,0.97,15.0
3M Company,MMM,NASDAQ,USA,USD,2023-02-16,1.2542,84.06,1.49,Industrials,Conglomerates,79507718144,2026-05-24,S&P 500,0.97,15.0
3M Company,MMM,NASDAQ,USA,USD,2023-05-18,1.2542,75.92,1.65,Industrials,Conglomerates,79507718144,2026-05-24,S&P 500,0.97,15.0
3M Company,MMM,NASDAQ,USA,USD,2023-08-18,1.2542,77.34,1.62,Industrials,Conglomerates,79507718144,2026-05-24,S&P 500,0.97,15.0
3M Company,MMM,NASDAQ,USA,USD,2023-11-16,1.2542,75.18,1.67,Industrials,Conglomerates,79507718144,2026-05-24,S&P 500,0.97,15.0
3M Company,MMM,NASDAQ,USA,USD,2024-02-15,1.2625,73.77,1.71,Industrials,Conglomerates,79507718144,2026-05-24,S&P 500,0.97,15.0
3M Company,MMM,NASDAQ,USA,USD,2024-05-23,0.7,95.7,0.73,Industrials,Conglomerates,79507718144,2026-05-24,S&P 500,0.97,15.0
3M Company,MMM,NASDAQ,USA,USD,2024-08-26,0.7,127.49,0.55,Industrials,Conglomerates,79507718144,2026-05-24,S&P 500,0.97,15.0
3M Company,MMM,NASDAQ,USA,USD,2024-11-15,0.7,126.16,0.55,Industrials,Conglomerates,79507718144,2026-05-24,S&P 500,0.97,15.0
3M Company,MMM,NASDAQ,USA,USD,2025-02-14,0.73,145.18,0.5,Industrials,Conglomerates,79507718144,2026-05-24,S&P 500,0.97,15.0
3M Company,MMM,NASDAQ,USA,USD,2025-05-23,0.73,144.91,0.5,Industrials,Conglomerates,79507718144,2026-05-24,S&P 500,0.97,15.0
3M Company,MMM,NASDAQ,USA,USD,2025-08-25,0.73,153.7,0.47,Industrials,Conglomerates,79507718144,2026-05-24,S&P 500,0.97,15.0
3M Company,MMM,NASDAQ,USA,USD,2025-11-14,0.73,165.97,0.44,Industrials,Conglomerates,79507718144,2026-05-24,S&P 500,0.97,15.0
3M Company,MMM,NASDAQ,USA,USD,2026-02-13,0.78,170.94,0.46,Industrials,Conglomerates,79507718144,2026-05-24,S&P 500,0.97,15.0
3M Company,MMM,NASDAQ,USA,USD,2026-05-22,0.78,152.44,0.51,Industrials,Conglomerates,79507718144,2026-05-24,S&P 500,0.97,15.0
AT&T Inc.,T,NASDAQ,USA,USD,2016-07-06,0.48,16.42,2.92,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2016-10-05,0.48,15.16,3.17,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2017-01-06,0.49,16.25,3.02,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2017-04-06,0.49,16.22,3.02,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2017-07-06,0.49,15.11,3.24,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2017-10-06,0.49,15.94,3.07,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2018-01-09,0.5,15.76,3.17,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2018-04-09,0.5,15.06,3.32,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2018-07-09,0.5,14.06,3.56,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2018-10-09,0.5,14.94,3.35,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2019-01-09,0.51,13.72,3.72,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2019-04-09,0.51,14.78,3.45,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2019-07-09,0.51,15.92,3.2,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2019-10-09,0.51,17.91,2.85,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2020-01-09,0.52,19.09,2.72,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2020-04-08,0.52,15.05,3.45,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2020-07-09,0.52,15.22,3.42,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2020-10-08,0.52,15.1,3.44,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2021-01-08,0.52,15.68,3.32,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2021-04-08,0.52,16.58,3.14,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2021-07-08,0.52,15.95,3.26,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2021-10-07,0.52,15.73,3.31,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2022-01-07,0.52,15.68,3.32,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2022-04-13,0.278,15.56,1.79,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2022-07-08,0.278,16.88,1.65,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2022-10-06,0.278,12.66,2.2,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2023-01-09,0.278,15.96,1.74,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2023-04-06,0.278,16.7,1.66,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2023-07-07,0.278,13.5,2.06,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2023-10-06,0.278,12.74,2.18,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2024-01-09,0.278,15.19,1.83,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2024-04-09,0.278,15.39,1.81,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2024-07-10,0.278,17.32,1.6,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2024-10-10,0.278,19.87,1.4,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2025-01-10,0.278,20.56,1.35,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2025-04-10,0.278,25.29,1.1,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2025-07-10,0.278,26.73,1.04,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2025-10-10,0.278,25.31,1.1,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2026-01-12,0.278,23.49,1.18,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AT&T Inc.,T,NASDAQ,USA,USD,2026-04-10,0.278,26.46,1.05,Communication Services,Telecom Services,175515041792,2026-05-24,S&P 500,2.53,1.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2016-07-13,0.57,43.27,1.32,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2016-10-12,0.57,41.27,1.38,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2017-01-11,0.64,41.64,1.54,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2017-04-11,0.64,44.14,1.45,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2017-07-12,0.64,49.88,1.28,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2017-10-12,0.64,63.89,1.0,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2018-01-11,0.71,69.87,1.02,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2018-04-12,0.96,65.51,1.47,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2018-07-12,0.96,68.69,1.4,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2018-10-12,0.96,65.85,1.46,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2019-01-14,1.07,62.3,1.72,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2019-04-12,1.07,60.16,1.78,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2019-07-12,1.07,53.14,2.01,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2019-10-11,1.07,56.48,1.89,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2020-01-14,1.18,68.57,1.72,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2020-04-14,1.18,64.81,1.82,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2020-07-14,1.18,78.97,1.49,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2020-10-14,1.18,69.68,1.69,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2021-01-14,1.3,91.43,1.42,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2021-04-14,1.3,87.79,1.48,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2021-07-14,1.3,98.38,1.32,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2021-10-14,1.3,92.4,1.41,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2022-01-13,1.41,114.46,1.23,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2022-04-13,1.41,137.41,1.03,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2022-07-14,1.41,131.27,1.07,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2022-10-13,1.41,125.98,1.12,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2023-01-12,1.48,135.45,1.09,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2023-04-13,1.48,146.1,1.01,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2023-07-13,1.48,121.3,1.22,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2023-10-12,1.48,136.0,1.09,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2024-01-12,1.55,150.36,1.03,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2024-04-12,1.55,151.65,1.02,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2024-07-15,1.55,158.47,0.98,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2024-10-15,1.55,182.39,0.85,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2025-01-15,1.64,164.42,1.0,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2025-04-15,1.64,171.22,0.96,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2025-07-15,1.64,182.07,0.9,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2025-10-15,1.64,222.57,0.74,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2026-01-16,1.73,212.59,0.81,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
AbbVie Inc.,ABBV,NASDAQ,USA,USD,2026-04-15,1.73,208.42,0.83,Healthcare,Drug Manufacturers - General,381097213952,2026-05-24,S&P 500,1.28,10.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2016-07-13,0.26,35.02,0.74,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2016-10-12,0.26,34.41,0.76,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2017-01-11,0.265,34.71,0.76,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2017-04-11,0.265,37.05,0.72,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2017-07-12,0.265,41.4,0.64,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2017-10-12,0.265,47.0,0.56,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2018-01-11,0.28,50.89,0.55,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2018-04-12,0.28,51.03,0.55,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2018-07-12,0.28,54.66,0.51,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2018-10-12,0.28,60.65,0.46,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2019-01-14,0.32,60.0,0.53,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2019-04-12,0.32,68.84,0.46,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2019-07-12,0.32,74.34,0.43,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2019-10-11,0.32,70.82,0.45,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2020-01-14,0.36,76.58,0.47,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2020-04-14,0.36,79.95,0.45,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2020-07-14,0.36,85.37,0.42,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2020-10-14,0.36,97.34,0.37,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2021-01-14,0.45,99.81,0.45,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2021-04-14,0.45,110.61,0.41,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2021-07-14,0.45,107.07,0.42,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2021-10-14,0.45,107.85,0.42,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2022-01-13,0.47,119.35,0.39,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2022-04-13,0.47,110.43,0.43,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2022-07-14,0.47,98.14,0.48,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2022-10-13,0.47,95.58,0.49,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2023-01-12,0.51,104.34,0.49,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2023-04-13,0.51,97.56,0.52,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2023-07-13,0.51,101.94,0.5,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2023-10-12,0.51,85.81,0.59,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2024-01-11,0.55,108.5,0.51,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2024-04-12,0.55,104.82,0.52,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2024-07-15,0.55,99.44,0.55,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2024-10-15,0.55,112.61,0.49,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2025-01-15,0.59,108.37,0.54,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2025-04-15,0.59,123.69,0.48,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2025-07-15,0.59,129.44,0.46,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2025-10-15,0.59,127.99,0.46,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2026-01-15,0.63,122.76,0.51,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Abbott Laboratories,ABT,NASDAQ,USA,USD,2026-04-15,0.63,101.56,0.62,Healthcare,Medical Devices,152251891712,2026-05-24,S&P 500,0.51,43.0
Accenture plc,ACN,NASDAQ,USA,USD,2016-10-19,1.21,100.9,1.2,Technology,Information Technology Services,110310596608,2026-05-24,S&P 500,0.55,40.0
Accenture plc,ACN,NASDAQ,USA,USD,2017-04-11,1.21,101.3,1.19,Technology,Information Technology Services,110310596608,2026-05-24,S&P 500,0.55,40.0
Accenture plc,ACN,NASDAQ,USA,USD,2017-10-18,1.33,121.09,1.1,Technology,Information Technology Services,110310596608,2026-05-24,S&P 500,0.55,40.0
